epochs,batch_size,learning_rate,training_time,correct_predictions
3,5,0.5,4.574,71
3,5,1.0,4.674,88
3,5,3.0,4.613,82
3,5,10.0,4.626,85
3,10,0.5,3.962,89
3,10,1.0,4.838,91
3,10,3.0,4.538,88
3,10,10.0,3.769,92
3,30,0.5,3.681,90
3,30,1.0,3.644,93
3,30,3.0,4.393,85
3,30,10.0,5.642,87
3,100,0.5,3.377,88
3,100,1.0,4.062,88
3,100,3.0,3.397,88
3,100,10.0,3.426,94
10,5,0.5,15.21,86
10,5,1.0,15.467,93
10,5,3.0,19.011,91
10,5,10.0,16.974,86
10,10,0.5,13.727,91
10,10,1.0,14.281,96
10,10,3.0,15.292,90
10,10,10.0,15.278,87
10,30,0.5,13.742,93
10,30,1.0,14.704,85
10,30,3.0,17.193,93
10,30,10.0,12.566,92
10,100,0.5,11.721,86
10,100,1.0,12.398,90
10,100,3.0,11.833,95
10,100,10.0,13.701,92
50,5,0.5,81.294,93
50,5,1.0,80.075,93
50,5,3.0,81.406,90
50,5,10.0,80.231,89
50,10,0.5,72.212,94
50,10,1.0,73.44,87
50,10,3.0,73.524,91
50,10,10.0,78.93,83
50,30,0.5,68.207,94
50,30,1.0,62.734,88
50,30,3.0,62.045,89
50,30,10.0,63.252,86
50,100,0.5,58.245,88
50,100,1.0,58.682,88
50,100,3.0,57.351,94
50,100,10.0,56.826,85
100,5,0.5,149.813,95
100,5,1.0,176.245,89
100,5,3.0,160.137,84
100,5,10.0,160.22,91
100,10,0.5,148.107,93
100,10,1.0,161.91,89
100,10,3.0,159.997,96
100,10,10.0,159.843,90
100,30,0.5,145.74,94
100,30,1.0,145.293,87
100,30,3.0,147.261,90
100,30,10.0,161.92,95
100,100,0.5,118.636,92
100,100,1.0,120.19,90
100,100,3.0,117.619,90
100,100,10.0,118.253,88
