TASA APRENDIZAJE,EPOCAS,TAM LOTE,TMP ENTRENAMIENTO,ACIERTOS,ERRORES
0.5,3,5,7560.926437,%75.0,%25.0
0.5,3,10,5172.202349,%79.0,%21.0
0.5,3,30,4436.971903,%77.0,%23.0
0.5,3,100,4089.355707,%85.0,%15.0
0.5,10,5,23108.24871,%84.0,%16.0
0.5,10,10,15911.722660000001,%87.0,%13.0
0.5,10,30,14408.959627,%91.0,%9.0
0.5,10,100,13227.876663,%87.0,%13.0
0.5,50,5,101874.21846399999,%88.0,%12.0
0.5,50,10,86208.024979,%92.0,%8.0
0.5,50,30,79343.86420299999,%91.0,%9.0
0.5,50,100,72023.42510200001,%89.0,%11.0
0.5,100,5,110854.649544,%87.0,%13.0
0.5,100,10,2.721787,%91.0,%9.0
0.5,100,30,7.643462,%88.0,%12.0
0.5,100,100,3.705978,%93.0,%7.000000000000001
1.0,3,5,3.074408,%91.0,%9.0
1.0,3,10,4.578114,%92.0,%8.0
1.0,3,30,60.391664,%91.0,%9.0
1.0,3,100,2.6793479999999996,%91.0,%9.0
1.0,10,5,3.4511089999999998,%85.0,%15.0
1.0,10,10,4.75502,%88.0,%12.0
1.0,10,30,20.678759000000003,%90.0,%10.0
1.0,10,100,6.928682,%91.0,%9.0
1.0,50,5,5.455255,%95.0,%5.0
1.0,50,10,10.647059,%88.0,%12.0
1.0,50,30,2.720117,%94.0,%6.0
1.0,50,100,7.828234999999999,%92.0,%8.0
1.0,100,5,3.695011,%88.0,%12.0
1.0,100,10,9.117842,%96.0,%4.0
1.0,100,30,8.835077,%92.0,%8.0
1.0,100,100,2.677918,%89.0,%11.0
3.0,3,5,6.371975,%89.0,%11.0
3.0,3,10,10.900974000000001,%82.0,%18.0
3.0,3,30,3.448487,%86.0,%14.000000000000002
3.0,3,100,2.756357,%90.0,%10.0
3.0,10,5,42.96112,%91.0,%9.0
3.0,10,10,2.79665,%92.0,%8.0
3.0,10,30,24.303674,%95.0,%5.0
3.0,10,100,8.512973,%94.0,%6.0
3.0,50,5,9.299992999999999,%89.0,%11.0
3.0,50,10,14.056443999999999,%90.0,%10.0
3.0,50,30,3.11327,%88.0,%12.0
3.0,50,100,13.865471000000001,%94.0,%6.0
3.0,100,5,14.735699,%92.0,%8.0
3.0,100,10,6.430864,%88.0,%12.0
3.0,100,30,5.421162,%91.0,%9.0
3.0,100,100,8.381367000000001,%93.0,%7.000000000000001
10.0,3,5,7.534504,%92.0,%8.0
10.0,3,10,14.375449,%84.0,%16.0
10.0,3,30,10.760784000000001,%89.0,%11.0
10.0,3,100,3.094435,%94.0,%6.0
10.0,10,5,2.901078,%81.0,%19.0
10.0,10,10,4.479647,%88.0,%12.0
10.0,10,30,3.751277,%90.0,%10.0
10.0,10,100,3.646136,%90.0,%10.0
10.0,50,5,3.4077170000000003,%88.0,%12.0
10.0,50,10,5.302668,%88.0,%12.0
10.0,50,30,14.504909999999999,%90.0,%10.0
10.0,50,100,9.340525000000001,%92.0,%8.0
10.0,100,5,5.034923,%89.0,%11.0
10.0,100,10,3.8943290000000004,%93.0,%7.000000000000001
10.0,100,30,3.56841,%94.0,%6.0
10.0,100,100,2.702475,%91.0,%9.0
