v,w
0.03947772374928867,0.6621832604945539
0.17022689172744254,0.47693377513979307
0.17728928723641715,0.4692616766084021
0.17855420302322478,0.4678970819318813
0.18190416202311055,0.4642962283200689
0.18588766830022535,0.460037940895051
0.186602027299657,0.4592768894287562
0.18654364260753295,0.4593390616097688
0.18637786197144185,0.45951562440879257
0.1856484542936284,0.4602929623947214
0.18492176695095403,0.46106820383601055
0.1842148161138026,0.4618231685379095
0.18274303611996287,0.4633974120694535
0.18093008678835323,0.4653413369521049
0.17823371453835254,0.46824256417675225
0.23426221563170127,0.40979426178760536
0.23255290693742625,0.41153809724078383
0.22601617590748338,0.4182208908602547
0.28066399108055257,0.3626645863108353
0.27266403666783107,0.3707980733536782
0.3235362884912568,0.3184175641849465
0.3148689836905078,0.3274942880187266
0.32428232962859604,0.3176320490544382
0.317373527116473,0.32488032238271414
0.308948445181699,0.3336475363354847
0.2998832177523579,0.3430069752024507
0.29129793489263983,0.35181394072528804
0.2564466027968016,0.38724996846205517
0.2502602589276968,0.3935255139461189
0.24219460636086712,0.4017176859487577
0.23435139403567748,0.4097033195803421
0.21841386413743621,0.4260264936203091
0.21529730119315058,0.42923867049265785
0.2117446662860785,0.4329101454852444
0.20923464471894881,0.43551093989160106
0.20532764205597978,0.43957134223410943
0.20269310030632073,0.4423182120620366
0.2626425031786692,0.380966879578184
0.25937912418269105,0.384276171318374
0.25300039226113136,0.390745335245511
0.2473582316138476,0.3964713235805639
0.24170148719383078,0.40221910205513245
0.241264337209504,0.40266367245232915
0.23622083256892062,0.40779772172427853
0.23107144221846293,0.4130506411087751
0.22778976080735458,0.41640530427670597
0.22049097891504785,0.4238898169881653
0.23255446282677586,0.4115365092869223
0.22845846989437113,0.41572123863893595
0.22515784824066631,0.4191002327226072
0.22107483508954742,0.4232897879236184
0.21605810858784205,0.42845380364516483
0.23545412834497587,0.40857907071198496
0.2336755788138731,0.41039259271698336
0.2305532322014495,0.4135799876589903
0.22471516008820666,0.4195539400639827
0.21997542571076262,0.42441985584688724
0.3058916548126669,0.33681134777963884
0.30011182361092686,0.3427717690952834
0.3144068682181455,0.3279758518907283
0.3044922736173246,0.3382569701525544
0.2973709080243135,0.34558929818239803
0.3749621135024829,0.2619743787008302
0.36542586646863773,0.2728822171374141
0.3759274007345099,0.2608555855639416
0.3649979421796378,0.2733658749422814
0.43029396153737953,0.1913510450926026
0.4258596083700079,0.19767441254466522
0.4270447263310765,0.1960001366034858
0.41946928996114285,0.20652029960947482
0.4695607964074013,0.12465812942434096
0.4691343854594893,0.12554701430211024
0.4651328996855228,0.13362532573910757
0.4928848928855113,0.05978768177847327
0.49133247254028395,0.06602315128304914
0.4908480377028633,0.0678542262675097
0.4897533355609423,0.07182440728762685
0.4886033579347597,0.07577722429589895
0.4999830116114218,0.0029144966105225656
0.49976120339051716,0.010927823107343526
0.49972804064872267,0.011662089746660387
0.4943347345888368,-0.053323548741393
0.49341220476817343,-0.05751933373020823
0.4961803541503051,-0.04375737051816697
0.48019689287127093,-0.10017640504824377
0.4773381842067986,-0.10726912092786345
0.4747305835916215,-0.11337511241958642
0.4819257993888226,-0.09564672681551978
0.4591926958599523,-0.14486587459955946
0.4533706361556024,-0.1551794605028577
0.46608460308190663,-0.13174477160633413
0.46134428703372526,-0.14088702702795308
0.43754160055276675,-0.18064046225542885
0.42945885850607884,-0.19255438076740317
0.44932270987584977,-0.16201214675456876
0.44774618445945225,-0.16460726071226905
0.4229874856753371,-0.20168706028713612
0.41526027435882734,-0.2121925202470335
0.40615398966248295,-0.22409828657354358
0.3927446158585527,-0.24086017497374856
0.3858715032531788,-0.24915449038915327
0.37211658588838814,-0.2652561560472787
0.36892179573943734,-0.26891288008267256
0.3588761390393173,-0.28023489332950624
0.3485887685528962,-0.2915851584241006
0.3411678937173309,-0.29964098651305116
0.3469659587449219,-0.29335564318772
0.3356966592547126,-0.3055182435719914
0.3302225372898535,-0.3113511293672344
0.30925292573529806,-0.3333319267117971
0.3301881615383769,-0.31138761746562227
0.32254820777134435,-0.31945684045350553
0.32254820777134435,-0.31945684045350553
0.3020868154888698,-0.3407380932069466
0.29947146107984285,-0.34343052160239707
0.3537817123598478,-0.2858840750698888
0.3710405950711376,-0.2664909457203477
0.36065771922838036,-0.2782452716214374
0.3533957990792256,-0.2863096825704726
0.3998251500324452,-0.2321130051318524
0.4410375528571997,-0.17528537029458457
0.47032025154041995,-0.12306044717749054
0.4665678166784691,-0.13078059455984192
0.4886539290229052,-0.07560761324236742
0.49865216535323886,-0.025971596209138914
0.4990455006484647,0.021853002009011524
0.49159848011848206,0.06499628256318535
0.48990183889866074,0.07129844912352756
0.49581122320929333,0.04582864979557266
0.49569995970958436,0.04643505173954199
0.4851534646950335,0.08659106167584252
0.4930928688538277,0.058903268068372316
0.49219079877738175,0.06265071164221281
0.47947244831732394,0.10201775665380253
0.4759710747402629,0.1105096591746213
0.48865760873917063,0.07559525739772655
0.48717326680143,0.08043025357592937
0.47266177031356693,0.11800982354226175
0.48609054549756997,0.08378700466676392
0.48422656442591566,0.08928145311615432
0.4828145949110009,0.0932369374323212
0.46641035853045126,0.13109548304398122
0.46338150631299824,0.13702514452164016
0.45444424253367877,0.15332328244446325
0.44628676752452856,0.1669789985729584
0.43363177155615956,0.18647996940036093
0.4173495686263439,0.20939131390332477
0.3926204460863136,0.24101166627828574
0.36089141743856124,0.27798372290775664
0.31425572223509496,0.3281333099139412
